RESULT_COUNT: 2546,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,MARKETCAP
2015-05-04,750946224600.0
2015-05-01,752404939100.0
2015-04-30,730232478700.0
2015-04-29,750596133120.0
2015-04-28,761799060480.0
2015-04-27,773993913700.0
2015-04-24,760165300240.0
2015-04-23,756606036860.0
2015-04-22,750479435960.0
2015-04-21,740501828780.0
2015-04-20,744527880800.0
2015-04-17,727898535500.0
2015-04-16,736184033860.0
2015-04-15,739743297240.0
2015-04-14,736942565400.0
2015-04-13,740151737300.0
2015-04-10,741610451800.0
2015-04-09,738459628480.0
2015-04-08,732858164800.0
2015-04-07,735250456580.0
2015-04-06,743069166300.0
2015-04-02,731224404560.0
2015-04-01,724981106500.0
2015-03-31,726031380940.0
2015-03-30,737351005460.0
2015-03-27,719146248500.0
2015-03-26,730755204720.0
2015-03-25,725696854140.0
2015-03-24,745165622070.0
2015-03-23,748224159630.0
2015-03-20,740518997700.0
2015-03-19,749900473485.0
2015-03-18,755635231410.0
2015-03-17,747224253120.0
2015-03-16,734931284850.0
2015-03-13,726932032770.0
2015-03-12,731990383350.0
2015-03-11,718991598720.0
2015-03-10,732343291530.0
2015-03-09,747812433420.0
2015-03-06,744636259800.0
2015-03-05,743518717230.0
2015-03-04,756046957620.0
2015-03-03,760870036080.0
2015-03-02,759281949270.0
2015-02-27,755576413380.0
2015-02-26,767075338245.0
2015-02-25,757517408370.0
2015-02-24,777397902510.0
2015-02-23,782279799000.0
2015-02-20,761664079485.0
2015-02-19,755517595350.0
2015-02-18,757076273145.0
2015-02-17,751870877490.0
2015-02-13,747459525240.0
2015-02-12,743812807380.0
2015-02-11,734519558640.0
2015-02-10,717697602060.0
2015-02-09,704169455160.0
2015-02-06,699522830790.0
2015-02-05,705463451820.0
2015-02-04,703228366680.0
2015-02-03,697875925950.0
2015-02-02,697758289890.0
2015-01-30,689112039480.0
2015-01-29,699346376700.0
2015-01-28,678230703930.0
2015-01-27,641939979420.0
2015-01-26,665231919300.0
2015-01-23,664526102940.0
2015-01-22,661114657200.0
2015-01-21,644351518650.0
2015-01-20,639469622160.0
2015-01-16,623412299970.0
2015-01-15,628294196460.0
2015-01-14,645821969400.0
2015-01-13,648292326660.0
2015-01-12,642586977750.0
2015-01-09,658820754030.0
2015-01-08,658114937670.0
2015-01-07,633764273250.0
2015-01-06,625000386780.0
2015-01-05,624941568750.0
2015-01-02,643057521990.0
2014-12-31,649233415140.0
2014-12-30,661820473560.0
2014-12-29,669996179730.0
2014-12-26,670466723970.0
2014-12-24,685799482630.0
2014-12-23,689044494020.0
2014-12-22,691493559220.0
2014-12-19,684391270140.0
2014-12-18,689717986950.0
2014-12-17,669880558830.0
2014-12-16,653563661935.0
2014-12-15,662625203175.0
2014-12-12,671839810990.0
2014-12-11,683411644060.0
2014-12-10,685432122850.0
2014-12-09,698718301560.0
2014-12-08,688187321200.0
2014-12-05,704106245000.0
2014-12-04,707106349870.0
2014-12-03,709800321590.0
2014-12-02,701840859690.0
2014-12-01,704534831410.0
2014-11-28,728168310590.0
2014-11-26,728596897000.0
2014-11-25,720025168800.0
2014-11-24,726300898375.0
2014-11-21,713106559610.0
2014-11-20,712126933530.0
2014-11-19,702085766210.0
2014-11-18,706983896610.0
2014-11-17,697922355370.0
2014-11-14,699085661340.0
2014-11-13,690758839660.0
2014-11-12,681146258750.0
2014-11-11,671656131100.0
2014-11-10,666329414290.0
2014-11-07,667431493630.0
2014-11-06,665533468100.0
2014-11-05,666513094180.0
2014-11-04,664921201800.0
2014-11-03,669819332200.0
2014-10-31,661247604000.0
2014-10-30,655002487740.0
2014-10-29,657206646420.0
2014-10-28,653533048620.0
2014-10-27,643553107930.0
2014-10-24,644226600860.0
2014-10-23,641838762290.0
2014-10-22,630573062370.0
2014-10-21,627389277610.0
2014-10-20,610796860880.0
2014-10-17,598000495210.0
2014-10-16,589367540380.0
2014-10-15,597204549020.0
2014-10-14,604612971250.0
2014-10-13,611102994030.0
2014-10-10,616735843990.0
2014-10-09,618511416260.0
2014-10-08,617164430400.0
2014-10-07,604612971250.0
2014-10-06,609939688060.0
2014-10-03,609939688060.0
2014-10-02,611654033700.0
2014-10-01,607245716340.0
2014-09-30,616858297250.0
2014-09-29,612939792930.0
2014-09-26,616858297250.0
2014-09-25,592280955570.0
2014-09-24,615761594250.0
2014-09-23,621147617040.0
2014-09-22,611585913660.0
2014-09-19,610980742560.0
2014-09-18,616003662690.0
2014-09-17,614732803380.0
2014-09-16,610375571460.0
2014-09-15,615035388930.0
2014-09-12,615216940260.0
2014-09-11,613825046730.0
2014-09-10,611222811000.0
2014-09-09,593007160890.0
2014-09-08,595246293960.0
2014-09-05,598937837670.0
2014-09-04,593793883320.0
2014-09-03,598756286340.0
2014-09-02,625141746300.0
2014-08-29,620300377500.0
2014-08-28,618787449750.0
2014-08-27,618061244430.0
2014-08-26,610551071079.0
2014-08-25,614490734940.0
2014-08-22,613159358520.0
2014-08-21,608681092380.0
2014-08-20,608620575270.0
2014-08-19,608378506830.0
2014-08-18,600087662760.0
2014-08-15,592946643780.0
2014-08-14,590041822500.0
2014-08-13,588468377640.0
2014-08-12,580782704670.0
2014-08-11,580903738890.0
2014-08-08,573339100140.0
2014-08-07,571765655280.0
2014-08-06,574670476560.0
2014-08-05,575638750320.0
2014-08-04,578483054490.0
2014-08-01,581750978430.0
2014-07-31,578543571600.0
2014-07-30,593975434650.0
2014-07-29,595367328180.0
2014-07-28,599240423220.0
2014-07-25,591076665081.0
2014-07-24,587197518330.0
2014-07-23,588165792090.0
2014-07-22,573218065920.0
2014-07-21,568491679629.0
2014-07-18,571463069730.0
2014-07-17,563353171818.9
2014-07-16,573581168580.0
2014-07-15,576849092520.0
2014-07-14,583687525950.0
2014-07-11,576243921420.0
2014-07-10,575124354885.0
2014-07-09,577272712290.0
2014-07-08,577030643850.0
2014-07-07,580770601248.0
2014-07-03,569042385330.0
2014-07-02,565713944280.0
2014-07-01,565956012720.0
2014-06-30,562385503230.0
2014-06-27,556636377780.0
2014-06-26,536110280554.6
2014-06-25,532925467006.7
2014-06-24,532453642777.4
2014-06-23,535697434353.9
2014-06-20,536169258583.3
2014-06-19,541772171306.3
2014-06-18,543659468223.6
2014-06-17,543069687936.9
2014-06-16,543777424280.9
2014-06-13,538351445643.8
2014-06-12,544308226538.9
2014-06-11,553567777039.1
2014-06-10,555867920157.0
2014-06-09,552624128580.5
2014-06-06,543920656636.2
2014-06-05,545420383650.8
2014-06-04,543288749186.3
2014-06-03,537155034205.2
2014-06-02,529664824564.9
2014-05-30,533329887774.7
2014-05-29,535335140749.3
2014-05-28,525755423807.8
2014-05-27,527120343899.7
2014-05-23,517431096333.5
2014-05-22,511651249524.4
2014-05-21,510842407988.5
2014-05-20,509494338761.9
2014-05-19,509393233569.9
2014-05-16,503428027242.1
2014-05-15,496106326255.2
2014-05-14,500361169751.6
2014-05-13,500268489992.3
2014-05-12,499484924754.3
2014-05-09,493344890698.8
2014-05-08,495407015343.9
2014-05-07,496286763290.9
2014-05-06,498029502081.1
2014-05-05,503517453560.1
2014-05-02,496496227087.8
2014-05-01,495574586381.4
2014-04-30,494409967670.6
2014-04-29,496286763290.9
2014-04-28,497761388421.1
2014-04-25,479202896015.0
2014-04-24,475709039882.6
2014-04-23,439664509710.6
2014-04-22,445486765409.5
2014-04-21,445043540015.2
2014-04-17,439823702196.3
2014-04-16,434855220933.6
2014-04-15,433975389201.1
2014-04-14,437092294284.6
2014-04-11,435357934046.2
2014-04-10,438600433622.3
2014-04-09,444331363105.7
2014-04-08,438566919414.8
2014-04-07,438592055070.4
2014-04-04,445588145887.2
2014-04-03,451427996545.0
2014-04-02,454578332050.5
2014-04-01,453824262381.6
2014-03-31,449710393410.3
2014-03-28,449810936032.9
2014-03-27,461538175994.2
2014-03-26,463530451825.5
2014-03-25,468004485050.2
2014-03-24,463023795471.9
2014-03-21,457596561310.6
2014-03-20,454015617251.7
2014-03-19,456213990582.9
2014-03-18,456334214124.4
2014-03-17,452332487670.1
2014-03-14,450572071526.0
2014-03-13,455690159437.6
2014-03-12,460808247349.1
2014-03-11,460361702766.2
2014-03-10,455922019124.8
2014-03-07,455509824125.2
2014-03-06,455776033395.8
2014-03-05,457158604123.6
2014-03-04,456196815791.2
2014-03-03,453208402044.2
2014-02-28,451903117878.9
2014-02-27,453131115481.8
2014-02-26,444268922990.7
2014-02-25,448313586424.1
2014-02-24,453028066731.9
2014-02-21,451052965692.2
2014-02-20,456119529228.8
2014-02-19,461460889431.8
2014-02-18,468863224632.6
2014-02-14,467145745467.7
2014-02-13,467523590884.0
2014-02-12,460215717037.2
2014-02-11,460250066620.5
2014-02-10,454264651730.7
2014-02-07,446269786217.9
2014-02-06,440112623411.6
2014-02-05,437577255090.6
2014-02-04,434333349494.9
2014-02-03,428135782488.2
2014-01-31,427341879276.6
2014-01-30,426643585914.1
2014-01-29,427469928181.7
2014-01-28,432378469543.7
2014-01-27,469939481705.5
2014-01-24,466157770708.3
2014-01-23,474788266911.8
2014-01-22,470801677666.4
2014-01-21,468718748810.2
2014-01-17,461548010124.8
2014-01-16,473140704332.9
2014-01-15,475795584965.2
2014-01-14,466430941705.8
2014-01-13,457330932850.2
